Username,Comment,Comment Date
@purnawarmanpraja8300,"Beda kelas lah, nama pak prabowo sdh terdengar sejak 2009 untuk level nasional, sdgkan kedua kontestan baru cuma terkenal di Jakarta dan Jateng..",2024-03-13T13:44:57Z
@iinlopi-s1v,Prabowo presiden ku❤❤❤❤❤❤❤❤❤,2024-03-13T13:23:07Z
@gntrnxx_,Pinjam casan dng batre gua 17%,2024-03-13T13:21:19Z
@Mukidi889,Metro netral dikit biar gak bikin panas.....,2024-03-13T13:03:43Z
@KESATRIA714,MAKIN HARI 01 03 MAKIN STRES,2024-03-13T13:02:00Z
@tedstt25,Tapi udah mengklain menang,2024-03-13T13:00:35Z
@sukamtojember,Harusx mtro gak usah tayangin hasil pillres takutx pendukung 01 jd pingsan entar bgtu tau?,2024-03-13T12:58:05Z
@SupriAdi-m6m,Pasti anak abah bilang pemilu curang🤣🤣🤣,2024-03-13T12:51:25Z
@mekanikeksprestruk5868,abah kasian abah,2024-03-13T12:39:31Z
@bazwedan,"jelas udh, balik metro yuk ke pertahana ngapaiin di perubahan",2024-03-13T12:36:43Z
@panpandi-by7wj,"coba metro tv kasih hiburan buat 01,,biar hatinya seneng,,biar ga stres kasih berita anis sbntr lagi mau di lantik gituu,,,",2024-03-13T12:04:22Z
@s.aripin3338,Alhamdulillah . Asli pilihan rakyat,2024-03-13T11:53:08Z
@arisjamaludin7443,Jawa barat menyusul 02 👍,2024-03-13T11:41:54Z
@ferykurniawan2187,02 maju terus BPK prabowo dan mas Gibran presiden selanjutny 02 Oke gass full slm dua jari,2024-03-13T11:40:43Z
@HendriDomad,Kami pihak RSJ menghimbau agar anak Abah segera sadar karena RSJ kami tak akan sanggup menampung semua anak Abah,2024-03-13T11:37:14Z
@ZulFahmi-v7r,"Memimpin dgn banyaknya kecurangan,namun meski demikian,pemilih tetap unggul Anis,to kebohongan rekapitulasi maha dahsyat,kamu TDK terima pemerintahan kebjongsn",2024-03-13T11:27:42Z
@hariyantohamid6258,"Info dari petugas KPPS &amp; KPU yang sangat penting untuk CALEG dan PENDUKUNG yang suaranya rendah (kalah) dalam pemilu ini 👇👇<br><br>** Selama kalian belum bicara sendiri sama TEMBOK atau LUKISAN itu berarti hidup, otak &amp; jiwa kalian masih baik-baik saja ** 🙏🙏 ,.,.,.,.",2024-03-13T11:07:09Z
@JoeLoyd,mungkin org2 zaman skrng jarang nonton berita atau baca koran jadi tdk ada yg sadar dgn kondisi Indonesia saat ini 😂😂,2024-03-13T10:59:53Z
@jomblangcity7926,pendukung 01 mana suaranya?<br>sory yeee..😂😂😂,2024-03-13T10:53:41Z
@brkhoer-eu6rn,"Metrotv media favoritnya anak abah 🤣🤣, tapi pemberitaan nya kemenangan Prabowo 🤣🤣🤣🤣",2024-03-13T10:42:26Z
@asepcpa1332,SEMENTARA apa SEMENTAHUN,2024-03-13T10:35:57Z
@budewiwi3667,Alhamdulilah ya Allah ..,2024-03-13T10:24:44Z
@muhhadiyusuf8239,Audit fotensic IT KPU dan hak angket adalag wajib mugholadhoh meski tdk merubah putusan kpu.,2024-03-13T10:05:12Z
@SuyantoSuyanto-e9q,Semoga cepat  dilantik pak prabowo,2024-03-13T09:59:21Z
@arsyaridwan8321,Ko presentasinya jadi terbalik no 01 dan 03,2024-03-13T09:57:57Z
@jajanjajanaja99,Baru aja pulang nyoblos..liat tv..udah 56% aja...ngapain juga pemilu...,2024-03-13T09:55:46Z
@ratnajuita1024,Milih kue di lantai daripada kunci 😁,2024-03-13T09:39:23Z
@souriseu6045,Kalean percaya suara saya segitu?,2024-03-13T09:31:26Z
@annaveronika7179,Duaaaa❤,2024-03-13T09:19:15Z
@titothomas8484,Hilang suara pndkung 01,2024-03-13T09:15:45Z
@utuhunjun3263,Mau berbeda tebal atau tipis tetap aja namanya menang🤣🤣🤣🤣,2024-03-13T09:15:04Z
@asliindonesiatercinta4009,"Yess Prabowo Gibran presiden terbaik 2024 - 2029, Anies nangis2 nyungsep di pojokan bersama rohingya... 😂😂",2024-03-13T09:14:57Z
@dannyrizky3980,Perbandingan jumlahnya memanglah terlalu besar dan jaraknya terlalu lebar untuk diperdebatkan atau dipermasalahkan. Mayoritas rakyat Indonesia tidaklah bodoh.,2024-03-13T09:08:11Z
@muhammadqomarullah3220,Dari sini terlihat pemilih indonesia memilih karena gimik bukan dari riset,2024-03-13T09:03:46Z
@sulhanhakim6032,Begito dong beritanya yg Fakta.,2024-03-13T08:59:56Z
@Gmn779,"Reporter e mungkin lagi drehidrasi karena kurang minum  jadi ngaco kalo ngomong   😂 , .",2024-03-13T08:57:59Z
@ArdiAnsyah-oq8wh,"Apalah artinya sebuah kemenangan klu kecurangan yg di lakukan..<br>Selama 5 tahun kedepan,gaji yg di dapat itu haram hukumnya,krn dari hasil kecurangan",2024-03-13T08:49:38Z
@dankerpoetra2800,🤮👎,2024-03-13T08:37:18Z
@mohamedridha2488,Prabowo dong..<br>Hrsnya 01 dan 03 menerima kekalahannya..<br>Kan gak mungkin klu semua menang😂😂😂😂.,2024-03-13T08:28:27Z
@AhmadFauzi-k6t,Siap siap Rempang,2024-03-13T08:28:18Z
@GladysGhaisaChanel,"Mantap-mantap... tapi kok, suara 01 makin menyusut... wakakakakaka... bakalan teriak curang2 tuh dan bakalan kita akan dibilang masuk neraka nanti",2024-03-13T08:09:49Z
@EliyananEly,Kayaknya yg lain sudah pasrah,2024-03-13T08:03:13Z
@sujudwicaksono9620,"Makan lah sikit,,, nanti sakit @METRO TV😂😂😂😂",2024-03-13T07:48:30Z
@musicallcountry4114,selisihnya segitu banyak kok bilang curang2 wkwkwkwk,2024-03-13T07:47:46Z
@ajisantoso6133,Tetap harus diulang sampai Anis menang...😂😂😂😂curang curang curang,2024-03-13T07:39:28Z
@TedyArifin,Prabowo gibran the nex president,2024-03-13T07:39:20Z
@broaji8782,Sudah diatur 02 pemenang kata Rocky gerung. Biarkata pendukung anis banyak. Kecuali bedol desa,2024-03-13T07:37:23Z
@be-3299,Lah sementara unggul jelas jelas beda jauh skorenya kovlak,2024-03-13T07:37:06Z
@Lobo.-123,ANIS UNGGUL DI SEMUA TPU🙏,2024-03-13T07:17:43Z
@aryasuteza6843,"Bukan sementara lagi udh fix menang min,tinggal nunggu di Lantik nanti tgl 20 Oktober,bicara fakta aja gitu loh kaya saya.🗿<br>-ganjar",2024-03-13T07:14:19Z
@mainananak01,Suara siluman😂,2024-03-13T07:13:18Z
@yuliid1583,Satu kata saja...ALHAMDULILLAH..,2024-03-13T07:08:36Z
